State,Latitude,Longitude,Rainfall,Soil_Moisture,Slope,Elevation,Temperature,Risk
Meghalaya,25.343511,91.071425,113.9,0.266,23.6,192.5,26.5,Low
Mizoram,23.589646,92.232106,72.0,0.235,53.5,2739.6,7.6,Moderate
Mizoram,24.006674,92.897552,111.2,0.322,38.4,2156.1,17.1,Moderate
Sikkim,27.333861,88.055447,81.1,0.119,32.7,1963.6,19.3,Moderate
Tripura,23.159997,92.163544,140.1,0.296,32.5,1160.6,21.1,Moderate
Mizoram,23.683663,92.524872,117.2,0.347,24.2,1751.4,20.2,Moderate
Manipur,23.924641,94.243108,86.0,0.096,63.1,3060.5,11.9,Low
Meghalaya,25.686889,91.013559,126.2,0.332,19.3,788.0,25.0,Low
Nagaland,25.890862,93.733629,55.7,0.262,48.9,1861.7,17.2,Low
Manipur,25.072261,94.747202,49.0,0.209,53.5,1699.5,19.4,Moderate
Arunachal Pradesh,27.027146,94.784141,52.2,0.149,43.8,1462.4,17.7,Low
Mizoram,23.002881,92.780695,48.2,0.189,32.6,1302.3,22.2,Low
Manipur,24.28288,94.485243,65.0,0.239,12.9,739.0,25.2,Low
Manipur,24.721986,93.978131,94.3,0.299,34.3,2090.6,15.4,Moderate
Arunachal Pradesh,27.414283,92.499947,72.2,0.222,40.3,1506.8,26.0,Low
Assam,24.360824,94.198951,120.5,0.317,17.9,499.9,23.9,Low
Meghalaya,25.235481,91.870226,151.8,0.397,2.0,1009.7,20.5,Low
Nagaland,25.941715,94.13155,36.7,0.264,38.4,2028.4,18.7,Low
Sikkim,27.563013,88.330938,61.6,0.141,13.9,573.5,24.7,Low
Assam,24.422604,91.65068,127.6,0.33,42.3,1174.7,22.8,Moderate
Mizoram,23.625709,93.06552,195.5,0.357,37.8,1635.0,20.8,Moderate
Manipur,24.343826,93.828185,274.3,0.666,37.5,1797.6,17.0,Moderate
Tripura,23.209516,91.273484,56.7,0.256,9.3,50.0,29.9,Low
Arunachal Pradesh,26.569141,96.432106,219.2,0.406,48.1,1974.5,21.2,Moderate
Arunachal Pradesh,27.13212,92.751436,104.9,0.343,39.4,1135.0,22.3,Low
Tripura,23.347362,91.16563,206.4,0.352,59.0,1632.0,17.9,High
Meghalaya,25.767115,90.025429,14.9,0.05,14.6,1200.9,24.3,Low
Assam,24.56365,93.761967,162.5,0.332,16.7,519.7,26.4,Low
Sikkim,27.407593,88.637153,51.9,0.153,28.7,1037.8,26.9,Low
Meghalaya,25.66891,90.568064,207.4,0.312,38.1,2406.8,16.8,Moderate
Tripura,23.941325,91.151156,138.3,0.342,44.1,2123.7,15.7,Moderate
Manipur,24.81918,93.786867,80.5,0.348,33.4,879.1,22.1,Low
Tripura,23.328598,91.785206,32.9,0.145,37.9,1912.1,21.8,Low
Meghalaya,26.0456,92.796714,58.4,0.219,29.6,1176.4,20.7,Low
Nagaland,26.354749,94.109412,135.6,0.261,22.5,753.8,22.9,Low
Arunachal Pradesh,27.175621,92.914028,470.8,0.933,25.1,884.8,25.2,High
Arunachal Pradesh,27.938365,93.520027,389.1,0.735,51.9,2239.8,14.8,Critical
Mizoram,24.275918,92.678784,120.5,0.299,50.3,2327.1,14.6,Moderate
Mizoram,22.870956,92.698595,33.8,0.129,4.5,50.0,31.1,Low
Tripura,24.238592,91.846025,165.4,0.356,6.6,243.5,28.6,Low
Sikkim,27.737003,88.300729,220.4,0.417,45.8,1614.6,20.2,Moderate
Manipur,25.354018,93.069055,87.9,0.189,30.1,154.6,28.6,Low
Nagaland,26.854515,94.3255,275.7,0.439,29.2,1001.9,23.8,Moderate
Assam,25.672651,92.832154,207.3,0.332,34.0,1048.8,26.1,Moderate
Meghalaya,25.800899,89.838296,209.2,0.508,36.9,1730.4,20.5,Moderate
Sikkim,28.045862,88.402066,63.5,0.129,52.5,2139.7,20.5,Low
Manipur,24.451636,93.248842,366.1,0.709,24.4,731.9,25.9,High
Mizoram,23.04261,92.84522,122.6,0.092,16.9,1817.5,17.1,Low
Tripura,23.545835,91.882258,64.4,0.116,31.6,1091.8,23.9,Low
Meghalaya,25.505076,92.684253,73.5,0.306,28.3,1662.8,20.3,Low
Mizoram,23.458122,93.249721,12.6,0.467,19.0,806.1,30.1,Low
Tripura,23.074969,91.516479,54.8,0.278,10.6,363.5,25.8,Low
Meghalaya,25.404217,91.508447,109.2,0.252,30.6,1289.9,19.0,Moderate
Assam,27.616677,90.193531,132.6,0.352,41.9,1319.1,26.4,Moderate
Manipur,23.937892,94.530572,134.1,0.445,34.4,2076.8,16.0,Moderate
Meghalaya,25.25542,91.80626,29.6,0.145,27.0,1408.7,24.2,Low
Nagaland,26.231468,94.965787,132.8,0.265,36.3,1875.7,23.5,Moderate
Sikkim,27.150107,88.116805,145.5,0.255,17.1,611.1,26.1,Low
Arunachal Pradesh,28.170455,96.705083,35.3,0.065,27.4,945.7,19.7,Low
Nagaland,25.988496,93.953884,250.0,0.524,36.3,1830.4,18.2,Moderate
Nagaland,26.35271,95.160897,44.4,0.089,30.6,1375.9,18.2,Low
Sikkim,28.004313,88.895935,33.0,0.05,66.1,2457.8,17.0,Low
Arunachal Pradesh,26.567706,92.12072,105.5,0.198,19.5,1423.5,21.9,Low
Nagaland,26.357989,94.941153,119.6,0.276,37.0,1253.6,23.2,Moderate
Meghalaya,25.342293,90.517633,39.6,0.145,36.4,736.4,24.7,Low
Meghalaya,25.944371,89.969146,112.3,0.119,39.9,1274.2,21.2,Moderate
Meghalaya,25.443259,91.317428,4.0,0.095,45.6,1199.3,23.9,Low
Arunachal Pradesh,28.181046,95.507383,111.7,0.077,7.0,66.9,30.6,Low
Nagaland,25.874207,94.525369,74.5,0.309,31.8,1670.9,21.9,Low
Tripura,23.836601,91.711901,79.1,0.227,42.8,1950.3,18.8,Moderate
Arunachal Pradesh,28.42145,92.92697,93.9,0.086,28.6,1199.5,22.7,Low
Meghalaya,25.101579,90.157815,169.2,0.312,9.2,50.0,26.8,Low
Sikkim,27.269499,88.450178,138.7,0.303,47.9,1575.6,17.5,Moderate
Nagaland,26.796841,94.702587,291.3,0.471,47.1,2326.1,18.4,High
Nagaland,26.699177,94.001951,64.8,0.26,33.6,1722.9,16.3,Low
Mizoram,22.9521,92.711786,101.1,0.338,31.3,2066.0,10.0,Moderate
Mizoram,22.39887,92.279582,66.9,0.251,37.0,1355.1,19.3,Low
Assam,26.481848,95.932065,118.0,0.412,39.9,2027.3,22.4,Low
Tripura,23.166928,91.06069,82.4,0.185,10.9,1178.8,25.3,Low
Tripura,24.147251,91.328362,138.3,0.31,2.0,50.0,28.8,Low
Manipur,25.376323,94.267086,60.9,0.19,42.0,1624.4,20.6,Low
Tripura,24.413078,91.531605,108.2,0.301,25.8,647.5,28.4,Low
Mizoram,23.621122,92.804311,151.2,0.298,29.8,1389.2,22.6,Moderate
Arunachal Pradesh,28.391766,93.972794,91.2,0.152,37.0,1799.4,17.3,Moderate
Tripura,23.201812,91.660267,159.7,0.366,25.7,782.0,25.7,Moderate
Mizoram,23.274319,93.253785,444.9,0.919,23.2,432.6,25.1,High
Assam,27.089187,93.881887,100.1,0.393,31.5,801.3,26.3,Moderate
Nagaland,25.415435,94.741233,58.0,0.315,26.9,712.9,25.8,Low
Tripura,23.700488,92.162329,155.1,0.536,2.0,380.5,25.7,Low
Assam,27.863458,90.047487,63.4,0.284,35.1,1939.6,14.9,Moderate
Nagaland,26.759219,93.375395,65.2,0.347,32.3,1423.2,21.9,Low
Sikkim,27.440604,88.48807,64.8,0.311,9.7,50.0,32.7,Low
Sikkim,27.177721,88.671682,91.2,0.169,19.8,902.4,21.8,Moderate
Nagaland,25.215874,93.637198,81.4,0.071,29.8,1294.7,26.6,Low
Tripura,23.829275,91.928704,219.2,0.367,18.0,673.7,25.2,Low
Manipur,25.541622,94.269894,133.3,0.552,16.7,1021.9,25.4,Low
Mizoram,23.646626,92.712643,45.6,0.268,17.8,292.2,27.2,Low
Arunachal Pradesh,26.503853,92.160876,108.8,0.41,27.5,771.3,25.2,Low
Arunachal Pradesh,28.103664,95.213214,12.2,0.087,29.4,1454.0,25.0,Low
Meghalaya,25.500938,91.992037,54.4,0.159,21.2,670.7,22.8,Low
Nagaland,26.191538,93.448352,23.1,0.253,50.7,1834.3,22.0,Moderate
Arunachal Pradesh,27.076049,96.11999,66.5,0.238,26.3,891.1,26.6,Low
Tripura,24.05986,92.163191,38.5,0.206,44.1,2653.1,18.6,Low
Manipur,24.023359,94.782401,87.6,0.278,42.8,2074.3,14.6,Moderate
Nagaland,25.597873,93.32356,25.8,0.27,25.9,883.1,26.8,Low
Manipur,25.695104,93.505933,76.7,0.301,23.7,1564.3,20.8,Low
Tripura,23.968831,91.229687,276.7,0.394,7.4,50.0,31.6,Moderate
Arunachal Pradesh,28.240686,96.472192,84.2,0.385,42.5,2281.0,19.0,Moderate
Arunachal Pradesh,27.460544,95.186397,88.8,0.271,2.0,494.4,22.5,Low
Meghalaya,25.225484,91.674386,24.7,0.113,10.9,1042.4,25.1,Low
Arunachal Pradesh,27.509351,92.661645,125.1,0.171,33.6,1115.6,22.6,Moderate
Nagaland,25.795046,93.657682,213.8,0.376,39.1,1733.3,22.5,Moderate
Tripura,24.343066,91.516343,107.1,0.179,17.9,1219.6,22.2,Low
Sikkim,27.294335,88.403567,85.2,0.366,23.9,1177.5,20.7,Low
Tripura,23.412858,91.967745,49.0,0.106,41.9,2697.7,9.2,Moderate
Nagaland,27.045318,94.176067,85.5,0.198,44.1,1232.8,21.0,Low
Nagaland,26.835963,94.431726,146.0,0.342,33.7,752.3,22.4,Moderate
Meghalaya,25.188683,91.871868,156.3,0.69,14.5,843.8,25.9,Moderate
Meghalaya,25.616121,91.75182,153.5,0.439,55.8,1656.8,22.1,Moderate
Arunachal Pradesh,29.169062,93.92239,4.0,0.136,23.3,50.0,33.3,Low
Assam,27.784946,94.429215,161.8,0.319,29.8,1420.6,18.4,Moderate
Tripura,23.681768,91.784189,195.6,0.425,39.3,2962.0,16.5,Moderate
Tripura,23.42093,92.278676,39.0,0.281,39.1,2169.9,15.7,Low
Assam,26.802875,89.976235,104.0,0.361,56.5,1836.7,16.5,Moderate
Meghalaya,25.391946,91.669943,182.3,0.357,31.1,582.9,31.4,Moderate
Arunachal Pradesh,26.669,91.631363,97.0,0.151,11.3,434.2,23.7,Low
Assam,25.890102,91.795948,115.2,0.339,34.2,1432.2,25.6,Moderate
Arunachal Pradesh,27.814896,92.944813,100.9,0.301,30.0,1061.9,27.2,Low
Arunachal Pradesh,26.994153,95.290288,145.3,0.425,52.1,2593.8,14.4,Moderate
Arunachal Pradesh,28.043713,92.600848,141.0,0.316,49.6,1433.1,22.2,Low
Mizoram,22.730933,92.96935,161.9,0.313,56.7,3004.3,10.6,Moderate
Nagaland,25.337236,93.594906,74.0,0.273,23.1,1064.5,24.8,Low
Arunachal Pradesh,26.719737,95.967745,142.7,0.385,2.0,50.0,28.8,Low
Mizoram,23.856264,93.179307,183.1,0.411,64.8,3405.0,9.6,High
Meghalaya,25.85959,91.808156,57.6,0.05,38.2,1708.5,18.7,Low
Assam,26.003366,93.746352,53.0,0.296,59.2,1545.2,19.4,Moderate
Nagaland,25.272887,94.542929,144.2,0.281,35.7,1716.9,18.7,Low
Sikkim,27.933453,88.450323,38.8,0.226,18.5,952.8,27.4,Low
Assam,25.501556,91.447788,41.9,0.352,40.3,2500.2,12.4,Low
Nagaland,26.421324,94.685602,51.0,0.114,2.0,50.0,32.5,Low
Sikkim,28.045161,88.308101,41.4,0.05,65.2,2144.5,19.1,Moderate
Assam,27.233044,93.236542,201.8,0.474,49.9,600.4,25.2,Moderate
Nagaland,26.877389,94.355624,128.9,0.26,24.3,1501.2,18.8,Moderate
Assam,26.174045,93.340626,280.1,0.596,2.0,657.4,25.2,Moderate
Assam,27.147124,95.77755,9.9,0.253,37.0,2011.5,17.6,Low
Sikkim,27.088276,88.048091,128.1,0.299,39.9,1517.5,18.1,Low
Assam,27.937711,93.038216,125.7,0.359,55.9,1438.8,25.3,Moderate
Assam,26.582593,92.739269,118.2,0.372,26.9,977.9,24.5,Low
Sikkim,27.112389,88.69128,33.2,0.083,33.2,410.2,26.8,Low
Meghalaya,25.89667,90.73511,50.9,0.311,46.2,1319.0,21.0,Low
Arunachal Pradesh,27.418718,96.108128,62.6,0.127,47.9,3248.0,5.6,Moderate
Tripura,23.015772,92.145437,86.4,0.435,34.9,1879.7,18.1,Low
Manipur,24.287657,94.067373,95.1,0.172,14.8,658.2,27.0,Low
Mizoram,24.333585,93.081559,89.2,0.169,15.3,1132.4,24.8,Low
Manipur,24.587417,94.241162,25.6,0.121,74.6,2708.3,15.3,Moderate
Manipur,24.453561,93.499065,170.7,0.13,36.7,1805.6,15.1,Moderate
Nagaland,27.093698,94.80158,86.7,0.259,45.3,1720.5,17.8,Low
Arunachal Pradesh,28.43416,93.454093,160.2,0.316,41.3,1157.7,25.3,Moderate
Nagaland,25.293406,93.362114,156.6,0.298,32.3,1666.4,25.2,Moderate
Arunachal Pradesh,28.162544,95.69118,9.5,0.124,26.7,1589.0,22.2,Low
Sikkim,27.644855,88.756707,40.3,0.143,5.6,958.5,25.9,Low
Sikkim,27.040112,88.330077,177.2,0.475,22.0,573.7,28.9,Moderate
Tripura,23.279313,91.581455,25.6,0.186,48.1,1506.3,23.0,Moderate
Arunachal Pradesh,26.717129,96.747724,145.0,0.415,29.7,1305.9,23.3,Moderate
Assam,24.937673,95.510539,54.0,0.168,37.8,1274.4,23.8,Low
Meghalaya,25.511072,92.756572,135.5,0.257,73.4,3141.5,11.0,High
Tripura,23.786493,92.210083,53.0,0.394,33.7,1802.0,23.6,Low
Tripura,22.908558,91.97271,210.5,0.341,34.9,1668.1,19.3,Moderate
Assam,27.792813,90.58024,126.1,0.414,23.7,967.5,22.9,Moderate
Meghalaya,25.115351,91.073718,92.6,0.288,39.3,554.8,27.5,Moderate
Nagaland,26.97399,94.384773,105.8,0.351,30.2,1601.1,19.2,Low
Meghalaya,25.632948,90.223378,143.1,0.357,42.4,1545.6,19.9,Moderate
Nagaland,25.2015,94.92028,26.9,0.05,17.5,1062.3,24.0,Low
Sikkim,27.105089,88.570465,242.9,0.582,27.3,1775.0,21.6,Moderate
Manipur,25.537771,93.375573,67.2,0.46,49.7,1547.6,20.6,Moderate
Sikkim,27.798327,88.070829,67.7,0.321,44.8,1665.1,17.6,Moderate
Sikkim,27.724506,88.147539,148.2,0.25,29.2,1381.4,21.7,Low
Manipur,25.198312,93.542216,66.8,0.181,39.6,1543.6,23.5,Low
Meghalaya,25.556069,91.598292,63.5,0.333,52.6,1984.4,20.5,Moderate
Tripura,23.174037,91.964129,75.9,0.134,21.5,1959.3,19.9,Low
Meghalaya,25.363168,91.787116,201.0,0.531,56.4,2311.6,16.5,Moderate
Nagaland,25.500738,94.676235,38.5,0.337,17.3,1697.8,18.6,Low
Assam,24.53839,92.379746,56.7,0.144,45.4,1400.9,18.7,Low
Nagaland,25.669692,94.79675,50.3,0.143,35.9,1852.1,13.0,Low
Assam,25.100547,95.254819,61.1,0.099,52.3,1693.1,19.8,Low
Sikkim,28.070184,88.176797,51.1,0.289,17.9,766.7,22.8,Low
Manipur,24.966307,93.157892,337.0,0.575,47.0,2175.6,13.0,High
Sikkim,27.469845,88.64199,191.9,0.449,13.9,1540.6,24.8,Low
Arunachal Pradesh,28.47827,94.935854,270.6,0.452,39.7,1849.8,22.0,Moderate
Meghalaya,25.339049,90.934075,38.3,0.234,17.4,943.2,20.9,Low
Assam,24.432374,94.229844,117.2,0.156,55.8,2310.2,13.2,Moderate
Nagaland,26.157389,94.717531,76.8,0.143,15.0,1579.7,20.0,Low
Manipur,24.272993,93.583989,154.0,0.218,16.9,1611.5,20.6,Low
Assam,25.403704,89.862177,79.0,0.234,58.2,1850.8,21.1,Moderate
Nagaland,25.847991,94.906609,184.5,0.368,44.1,2035.0,22.2,Moderate
Meghalaya,26.076758,91.354655,56.8,0.256,50.1,1517.7,21.8,Moderate
Sikkim,27.546602,88.027742,192.8,0.301,24.5,673.6,25.3,Moderate
Meghalaya,26.055045,89.839031,25.2,0.242,27.0,506.1,30.1,Low
Mizoram,24.35635,92.835981,31.5,0.273,47.7,1186.9,18.0,Low
Arunachal Pradesh,27.525803,96.583201,239.7,0.504,48.2,2367.1,10.5,High
Mizoram,21.963417,92.955852,277.2,0.331,28.7,481.0,28.9,Moderate
Manipur,24.842972,93.394777,217.1,0.481,48.6,2364.7,17.0,Moderate
Assam,25.801327,93.809263,162.9,0.452,37.1,1429.5,22.0,Moderate
Manipur,25.181549,93.00129,62.9,0.455,22.0,432.4,23.7,Moderate
Sikkim,28.124224,88.148073,331.3,0.712,16.3,1416.3,21.6,Moderate
Nagaland,25.643803,93.826947,45.9,0.169,13.6,550.3,30.6,Low
Meghalaya,25.045384,90.169156,69.8,0.304,32.9,1057.6,22.4,Low
Mizoram,24.46451,92.609782,82.1,0.344,42.0,1475.3,23.9,Moderate
Tripura,23.084482,91.139089,45.9,0.181,21.9,638.1,31.7,Low
Mizoram,23.770596,93.310939,98.4,0.362,53.8,2645.6,13.1,Moderate
Sikkim,27.308343,88.018819,64.1,0.139,32.1,1131.7,28.0,Low
Mizoram,22.480034,92.27347,37.3,0.305,47.9,2452.1,16.6,Low
Sikkim,27.124074,88.388357,145.3,0.395,21.6,1171.3,21.6,Moderate
Tripura,23.267869,91.67073,121.3,0.352,53.2,2184.2,16.3,Moderate
Manipur,24.281638,94.692967,316.6,0.477,37.1,2044.8,21.4,High
Meghalaya,26.087133,91.500418,145.2,0.311,53.9,2589.4,13.9,Moderate
Assam,25.488581,92.101225,63.0,0.214,28.0,1149.9,25.0,Low
Nagaland,25.982519,94.755159,90.9,0.283,75.0,3190.0,10.8,Moderate
Assam,25.896884,95.097399,385.4,0.61,36.2,2386.0,12.9,High
Manipur,25.59378,93.604703,190.2,0.323,2.0,80.0,29.1,Moderate
Nagaland,26.26532,93.490113,160.5,0.37,45.7,2321.6,17.3,Moderate
Mizoram,22.42122,92.737505,86.1,0.126,57.0,2647.0,17.3,Moderate
Tripura,23.229924,92.139529,98.3,0.211,47.7,1775.1,20.6,Low
Tripura,23.153258,91.592359,439.8,0.855,2.0,50.0,28.8,Moderate
Arunachal Pradesh,28.317098,95.305251,59.0,0.063,27.9,1043.5,21.2,Low
Manipur,24.527832,94.564378,126.6,0.361,43.9,1583.2,20.4,Moderate
Manipur,24.879806,93.791114,127.8,0.206,38.6,2025.5,17.5,Moderate
Meghalaya,25.080689,91.194068,236.2,0.548,42.6,2073.9,17.3,High
Assam,27.447091,93.571608,105.8,0.303,54.0,2242.4,18.3,Moderate
Manipur,25.381109,93.889221,128.1,0.248,52.4,1594.9,16.5,Moderate
Manipur,24.025077,93.024552,95.2,0.297,20.6,672.1,25.7,Low
Mizoram,22.688371,93.107388,255.0,0.576,22.7,1656.4,20.6,Moderate
Mizoram,23.954676,92.584479,25.6,0.074,41.9,2151.1,18.4,Low
Nagaland,26.141742,94.142238,74.8,0.2,17.1,933.8,27.0,Low
Sikkim,27.492627,88.208214,129.6,0.33,37.4,1452.5,22.9,Low
Sikkim,27.163645,88.17702,103.7,0.107,44.0,1715.6,20.1,Low
Arunachal Pradesh,26.665997,92.589719,101.8,0.252,51.3,1913.9,15.0,Moderate
Sikkim,27.011041,88.564533,106.2,0.097,8.9,392.2,28.4,Low
Meghalaya,25.37965,92.719434,57.3,0.209,18.5,741.8,27.1,Low
Arunachal Pradesh,27.081151,93.402057,36.7,0.13,13.8,468.9,24.9,Low
Nagaland,25.879898,93.316903,70.0,0.252,51.7,1884.3,18.2,Moderate
Mizoram,24.081941,92.241593,49.7,0.22,38.6,1951.7,15.1,Low
Sikkim,28.128216,88.802867,86.9,0.339,18.1,162.0,34.1,Low
Assam,26.249192,93.124652,45.2,0.187,41.8,1484.4,18.0,Moderate
Mizoram,23.599823,92.703165,192.9,0.288,40.3,1919.1,22.1,Moderate
Tripura,23.935556,91.058199,158.5,0.286,39.7,2134.9,16.4,Moderate
Meghalaya,25.064857,91.171691,185.8,0.461,26.4,583.9,26.7,Low
Mizoram,23.329018,93.354163,194.1,0.393,34.7,1996.3,17.8,Moderate
Meghalaya,25.125593,92.267944,164.5,0.373,49.9,1986.3,22.6,Moderate
Meghalaya,25.252057,90.982251,240.7,0.451,29.1,1596.9,19.9,Moderate
Meghalaya,25.379923,91.000466,51.6,0.106,27.6,65.3,33.0,Low
Nagaland,25.485941,94.30714,121.1,0.394,30.1,1113.9,23.9,Low
Meghalaya,25.961971,91.124602,49.7,0.201,38.9,1995.8,22.2,Moderate
Meghalaya,25.588736,92.346303,165.5,0.3,39.8,1594.6,18.3,Moderate
Tripura,24.029693,91.637591,75.0,0.158,14.9,1339.0,20.7,Low
Assam,25.082322,95.275039,77.4,0.252,29.0,1013.5,26.0,Low
Arunachal Pradesh,28.231061,92.716312,19.5,0.166,57.7,2341.4,18.6,Moderate
Manipur,24.311328,94.44564,70.4,0.126,19.8,1108.8,24.5,Low
Tripura,22.970633,92.28972,213.9,0.292,6.8,1020.0,26.5,Low
Arunachal Pradesh,26.891055,95.878377,18.6,0.05,12.5,690.3,30.2,Low
Meghalaya,25.47373,91.276649,17.6,0.133,2.0,404.3,26.3,Low
Assam,27.698732,92.30134,89.4,0.094,43.1,1322.1,21.7,Low
Mizoram,23.297484,92.26409,84.5,0.256,35.0,1398.5,25.6,Low
Assam,24.009859,91.242239,242.0,0.516,39.5,1967.1,20.2,Moderate
Tripura,23.988933,91.157644,7.0,0.149,25.0,381.1,28.8,Low
Meghalaya,25.136514,91.032882,49.1,0.238,54.0,1468.7,21.2,Moderate
Assam,26.720916,94.186054,68.5,0.383,24.8,1506.7,22.1,Moderate
Sikkim,27.214141,88.071629,231.7,0.559,32.2,810.0,21.8,Moderate
Assam,27.949668,91.342198,108.0,0.381,39.5,1140.6,27.1,Moderate
Meghalaya,26.024016,92.390474,98.4,0.366,27.5,1214.4,25.1,Moderate
Nagaland,26.667793,93.637667,99.3,0.35,37.5,1368.3,17.2,Moderate
Sikkim,27.986162,88.692326,186.1,0.419,30.2,983.7,25.2,Moderate
Assam,26.506237,91.824373,98.0,0.311,38.2,1459.1,19.9,Moderate
Manipur,24.298766,93.219401,47.0,0.296,2.0,50.0,29.3,Low
Manipur,24.768538,94.05347,407.7,0.656,64.6,3500.0,6.2,Critical
Assam,25.509224,92.694762,64.6,0.213,18.2,1096.4,19.7,Low
Nagaland,25.890677,94.582012,37.8,0.125,12.9,72.9,26.5,Low
Mizoram,24.243274,92.413096,146.0,0.343,9.5,220.1,27.3,Low
Meghalaya,25.457691,90.222606,54.3,0.292,23.2,1086.2,24.8,Low
Manipur,24.987393,94.311967,68.0,0.102,25.5,50.0,33.0,Low
Mizoram,24.322973,92.562534,64.5,0.095,19.0,175.4,32.1,Low
Assam,27.990887,90.098555,321.5,0.531,42.7,1809.4,15.7,High
Tripura,23.864822,91.074273,51.1,0.074,38.0,1529.8,22.7,Low
Mizoram,24.223813,92.888752,241.3,0.453,42.0,2062.8,13.9,Moderate
Sikkim,27.803218,88.748417,69.5,0.312,2.0,703.5,25.6,Low
Arunachal Pradesh,26.950932,91.712254,135.6,0.356,18.0,751.8,25.5,Moderate
Manipur,25.469874,93.56688,153.2,0.532,37.2,986.8,20.5,Moderate
Assam,24.541711,92.651306,87.4,0.314,40.3,2260.1,16.3,Low
Tripura,23.85729,91.040262,39.3,0.38,41.4,1608.8,23.5,Low
Meghalaya,25.329875,89.8984,80.0,0.213,45.9,1897.0,19.3,Moderate
Tripura,23.572537,92.16363,23.5,0.183,33.0,1565.1,19.3,Low
Nagaland,27.06704,94.574095,99.6,0.317,16.0,1058.9,21.9,Low
Sikkim,27.193965,88.815264,200.2,0.365,27.4,1315.2,21.7,Moderate
Assam,26.168241,90.668621,210.3,0.388,25.8,1616.4,24.0,Moderate
Meghalaya,26.106072,92.072407,185.5,0.333,27.2,1093.1,24.0,Moderate
Nagaland,26.59024,94.718361,7.4,0.094,6.3,1137.8,21.9,Low
Nagaland,25.580646,93.722013,150.0,0.309,61.2,2130.2,13.0,Moderate
Assam,26.890831,91.084253,61.9,0.256,34.3,1428.9,21.9,Low
Sikkim,27.526406,88.703802,34.7,0.05,33.4,1546.0,20.8,Low
Mizoram,23.938277,92.78924,183.3,0.335,24.9,402.6,23.6,Low
Mizoram,23.959694,93.290208,80.3,0.112,41.6,2425.6,16.5,Low
Nagaland,26.444074,93.756852,75.6,0.228,15.4,745.7,22.8,Low
Mizoram,22.612431,92.609294,40.8,0.342,38.2,2233.5,17.8,Moderate
Arunachal Pradesh,26.850412,93.002378,238.3,0.626,58.8,2891.8,16.3,High
Nagaland,25.598087,94.210657,69.2,0.134,13.3,559.8,22.7,Low
Nagaland,26.926031,93.508961,321.9,0.545,52.1,2639.4,13.4,High
Meghalaya,25.864322,91.861849,115.0,0.134,21.4,688.2,25.1,Low
Mizoram,22.148961,93.399344,170.7,0.327,23.8,1186.9,17.4,Moderate
Sikkim,27.682167,88.327353,126.2,0.206,25.1,1103.4,27.2,Moderate
Nagaland,26.637423,93.814731,109.8,0.36,29.4,1807.5,18.2,Moderate
Tripura,24.009616,91.051625,172.3,0.621,55.0,1759.3,26.0,Moderate
Sikkim,28.00729,88.403354,172.0,0.575,14.6,481.6,24.8,Moderate
Arunachal Pradesh,28.410079,92.716808,134.8,0.238,33.8,1525.5,24.2,Low
Meghalaya,25.812488,92.116721,275.1,0.529,39.1,1757.3,22.7,Moderate
Assam,25.987495,93.59168,153.3,0.331,59.0,2923.1,12.9,High
Sikkim,27.547591,88.804682,353.1,0.752,49.6,1883.5,21.7,High
Nagaland,26.145951,94.983617,69.1,0.137,2.0,50.0,26.6,Low
Arunachal Pradesh,28.904056,93.757777,123.9,0.188,14.5,727.1,25.0,Low
Manipur,24.237161,93.730948,85.2,0.488,28.6,2009.0,18.2,Moderate
Arunachal Pradesh,28.978652,92.751979,60.8,0.171,3.0,940.3,25.4,Low
Arunachal Pradesh,28.073309,95.933532,193.3,0.405,32.7,1586.5,23.0,Moderate
Meghalaya,25.424173,91.726629,157.0,0.252,45.7,2109.1,15.3,Moderate
Assam,25.031653,90.388461,217.8,0.459,35.2,2007.2,15.3,Moderate
Manipur,25.30933,93.178144,54.5,0.05,50.1,1733.8,25.1,Low
Mizoram,22.605592,93.311642,131.1,0.329,19.6,485.1,26.1,Low
Mizoram,22.80082,93.464959,126.6,0.251,49.0,1837.9,21.7,Moderate
Sikkim,28.175681,88.241448,108.9,0.382,55.7,2195.7,18.4,Moderate
Arunachal Pradesh,26.622935,95.377848,97.3,0.222,57.5,1641.5,22.8,Moderate
Tripura,23.621578,91.130979,24.4,0.071,30.8,990.8,22.7,Low
Meghalaya,25.849027,89.893525,128.3,0.262,2.0,676.4,24.1,Low
Tripura,24.292315,91.180248,200.6,0.422,7.5,424.2,25.3,Low
Meghalaya,25.152774,90.327017,102.6,0.377,2.0,286.8,28.4,Low
Mizoram,24.396693,93.10112,74.3,0.363,25.8,1470.2,22.3,Low
Sikkim,27.961646,88.357871,85.1,0.308,21.8,1212.3,24.9,Low
Sikkim,27.403575,88.211036,114.5,0.297,63.0,1988.8,19.6,Moderate
Sikkim,27.576778,88.496646,92.9,0.307,46.1,2431.3,14.6,Moderate
Manipur,25.000372,93.462813,60.2,0.179,21.3,1249.4,21.3,Low
Assam,27.984347,90.769479,80.0,0.237,22.2,925.5,24.0,Low
Manipur,25.634741,93.026741,37.4,0.077,39.7,2227.1,18.9,Low
Nagaland,26.114139,93.966736,82.4,0.315,13.6,1371.9,19.4,Moderate
Nagaland,26.053334,94.441329,24.8,0.348,27.8,1354.9,23.7,Low
Tripura,23.596943,91.539301,96.1,0.311,39.1,1511.9,22.8,Moderate
